Data;Ora;Valore;Tipo;ID staz
1998-01-01;1:00;63;max;00251
1998-01-01;6:25;8;min;00251
1998-01-01;11:25;63;max;00251
1998-01-01;18:25;-37;min;00251
1998-01-02;1:30;60;max;00251
1998-01-02;7:10;9;min;00251
1998-01-02;12:35;63;max;00251
1998-01-02;19:10;-20;min;00251
1998-01-03;2:15;64;max;00251
1998-01-03;8:25;16;min;00251
1998-01-03;12:40;48;max;00251
1998-01-03;19:25;-24;min;00251
1998-01-04;3:50;72;max;00251
1998-01-04;9:35;18;min;00251
1998-01-04;14:05;39;max;00251
1998-01-04;19:45;-20;min;00251
1998-01-05;4:30;83;max;00251
1998-01-05;11:15;17;min;00251
1998-01-05;13:55;23;max;00251
1998-01-05;20:10;-4;min;00251
1998-01-06;5:00;78;max;00251
1998-01-06;13:10;-2;min;00251
1998-01-06;17:55;18;max;00251
1998-01-06;21:30;11;min;00251
1998-01-07;5:35;63;max;00251
1998-01-07;13:45;-22;min;00251
1998-01-07;20:10;33;max;00251
1998-01-08;0:15;14;min;00251
1998-01-08;6:20;52;max;00251
1998-01-08;14:30;-32;min;00251
1998-01-08;20:55;36;max;00251
1998-01-09;2:00;3;min;00251
1998-01-09;7:40;43;max;00251
1998-01-09;15:15;-42;min;00251
1998-01-09;21:35;31;max;00251
1998-01-10;2:55;-15;min;00251
1998-01-10;8:50;38;max;00251
1998-01-10;16:00;-52;min;00251
1998-01-10;22:15;33;max;00251
1998-01-11;3:35;-25;min;00251
1998-01-11;9:50;52;max;00251
1998-01-11;16:25;-55;min;00251
1998-01-11;22:40;31;max;00251
1998-01-12;3:55;-20;min;00251
1998-01-12;9:55;52;max;00251
1998-01-12;17:20;-61;min;00251
1998-01-12;23:30;31;max;00251
1998-01-13;4:45;-15;min;00251
1998-01-13;10:35;52;max;00251
1998-01-13;17:25;-56;min;00251
1998-01-14;0:15;43;max;00251
1998-01-14;5:20;-4;min;00251
1998-01-14;11:10;58;max;00251
1998-01-14;17:50;-42;min;00251
1998-01-15;0:50;59;max;00251
1998-01-15;6:15;4;min;00251
1998-01-15;11:20;55;max;00251
1998-01-15;18:20;-42;min;00251
1998-01-16;1:10;55;max;00251
1998-01-16;6:50;0;min;00251
1998-01-16;11:50;51;max;00251
1998-01-16;18:30;-29;min;00251
1998-01-17;1:20;58;max;00251
1998-01-17;7:10;6;min;00251
1998-01-17;12:00;39;max;00251
1998-01-17;18:40;-31;min;00251
1998-01-18;2:10;49;max;00251
1998-01-18;8:10;4;min;00251
1998-01-18;12:10;28;max;00251
1998-01-18;19:00;-20;min;00251
1998-01-19;2:55;59;max;00251
1998-01-19;8:05;24;min;00251
1998-01-19;13:50;56;max;00251
1998-01-19;19:15;8;min;00251
1998-01-20;2:00;56;max;00251
1998-01-20;9:35;11;min;00251
1998-01-20;12:25;20;max;00251
1998-01-20;17:55;11;min;00251
1998-01-21;3:35;41;max;00251
1998-01-21;12:00;11;min;00251
1998-01-21;18:55;33;max;00251
1998-01-21;23:50;12;min;00251
1998-01-22;6:40;40;max;00251
1998-01-22;13:40;4;min;00251
1998-01-22;19:15;38;max;00251
1998-01-23;0:35;9;min;00251
1998-01-23;6:35;59;max;00251
1998-01-23;14:05;1;min;00251
1998-01-23;20:00;42;max;00251
1998-01-24;1:05;15;min;00251
1998-01-24;8:00;63;max;00251
1998-01-24;15:30;-8;min;00251
1998-01-24;21:55;48;max;00251
1998-01-25;2:35;22;min;00251
1998-01-25;9:15;75;max;00251
1998-01-25;16:10;-25;min;00251
1998-01-25;22:30;52;max;00251
1998-01-26;3:25;14;min;00251
1998-01-26;9:20;73;max;00251
1998-01-26;16:25;-38;min;00251
1998-01-26;22:50;55;max;00251
1998-01-27;4:00;7;min;00251
1998-01-27;9:35;72;max;00251
1998-01-27;16:55;-47;min;00251
1998-01-27;23:55;55;max;00251
1998-01-28;5:00;3;min;00251
1998-01-28;10:20;65;max;00251
1998-01-28;17:20;-49;min;00251
1998-01-29;0:10;60;max;00251
1998-01-29;5:45;1;min;00251
1998-01-29;11:00;61;max;00251
1998-01-29;17:50;-48;min;00251
1998-01-30;0:40;55;max;00251
1998-01-30;6:25;-12;min;00251
1998-01-30;12:00;57;max;00251
1998-01-30;18:20;-39;min;00251
1998-01-31;1:10;60;max;00251
1998-01-31;7:00;-8;min;00251
1998-01-31;13:05;59;max;00251
1998-01-31;19:15;-32;min;00251
1998-02-01;2:20;61;max;00251
1998-02-01;7:25;8;min;00251
1998-02-01;13:20;65;max;00251
1998-02-01;19:50;-8;min;00251
1998-02-02;2:20;48;max;00251
1998-02-02;8:10;4;min;00251
1998-02-02;14:00;52;max;00251
1998-02-02;20:10;-8;min;00251
1998-02-03;3:50;61;max;00251
1998-02-03;9:50;14;min;00251
1998-02-03;14:10;39;max;00251
1998-02-03;20:10;-2;min;00251
1998-02-04;5:05;72;max;00251
1998-02-04;12:00;25;min;00251
1998-02-04;17:00;40;max;00251
1998-02-04;19:55;36;min;00251
1998-02-05;6:00;65;max;00251
1998-02-05;13:30;8;min;00251
1998-02-05;19:40;43;max;00251
1998-02-05;23:45;26;min;00251
1998-02-06;6:50;68;max;00251
1998-02-06;11:35;-7;min;00251
1998-02-06;21:25;46;max;00251
1998-02-07;1:30;25;min;00251
1998-02-07;7:25;70;max;00251
1998-02-07;15:25;-17;min;00251
1998-02-07;22:10;59;max;00251
1998-02-08;2:40;31;min;00251
1998-02-08;8:30;72;max;00251
1998-02-08;15:45;-31;min;00251
1998-02-08;22:40;56;max;00251
1998-02-09;3:30;16;min;00251
1998-02-09;8:55;56;max;00251
1998-02-09;16:25;-44;min;00251
1998-02-09;23:00;54;max;00251
1998-02-10;4:25;-1;min;00251
1998-02-10;9:50;54;max;00251
1998-02-10;16:40;-51;min;00251
1998-02-10;23:25;52;max;00251
1998-02-11;5:00;-10;min;00251
1998-02-11;10:30;52;max;00251
1998-02-11;17:00;-53;min;00251
1998-02-11;23:40;52;max;00251
1998-02-12;5:20;-16;min;00251
1998-02-12;10:55;47;max;00251
1998-02-12;17:30;-49;min;00251
1998-02-12;0:00;48;max;00251
1998-02-13;5:50;-25;min;00251
1998-02-13;11:35;39;max;00251
1998-02-13;17:50;-53;min;00251
1998-02-14;0:20;41;max;00251
1998-02-14;6:20;-31;min;00251
1998-02-14;11:50;31;max;00251
1998-02-14;18:05;-48;min;00251
1998-02-15;0:45;43;max;00251
1998-02-15;6:45;-25;min;00251
1998-02-15;12:10;28;max;00251
1998-02-15;18:25;-47;min;00251
1998-02-16;1:00;32;max;00251
1998-02-16;6:40;-28;min;00251
1998-02-16;12:40;19;max;00251
1998-02-16;18:30;-29;min;00251
1998-02-17;1:50;43;max;00251
1998-02-17;8:10;-14;min;00251
1998-02-17;13:05;19;max;00251
1998-02-17;19:05;-29;min;00251
1998-02-18;1:55;35;max;00251
1998-02-18;8:00;-25;min;00251
1998-02-18;12:55;0;max;00251
1998-02-18;18:35;-26;min;00251
1998-02-19;2:15;20;max;00251
1998-02-19;9:20;-12;min;00251
1998-02-19;12:55;-4;max;00251
1998-02-19;16:15;-8;min;00251
1998-02-20;4:00;23;max;00251
1998-02-20;13:00;-28;min;00251
1998-02-20;21:00;8;max;00251
1998-02-20;22:30;7;min;00251
1998-02-21;5:20;31;max;00251
1998-02-21;13:40;-34;min;00251
1998-02-21;21:20;23;max;00251
1998-02-22;1:05;12;min;00251
1998-02-22;6:20;33;max;00251
1998-02-22;14:05;-35;min;00251
1998-02-22;21:55;40;max;00251
1998-02-23;2:45;7;min;00251
1998-02-23;8:20;41;max;00251
1998-02-23;14:55;-32;min;00251
1998-02-23;21:55;52;max;00251
1998-02-24;3:55;-13;min;00251
1998-02-24;9:10;43;max;00251
1998-02-24;15:45;-47;min;00251
1998-02-24;22:00;43;max;00251
1998-02-25;3:55;-31;min;00251
1998-02-25;9:40;46;max;00251
1998-02-25;16:35;-50;min;00251
1998-02-25;22:50;38;max;00251
1998-02-26;4:40;-33;min;00251
1998-02-26;10:35;52;max;00251
1998-02-26;17:05;-65;min;00251
1998-02-26;23:35;40;max;00251
1998-02-27;5:15;-37;min;00251
1998-02-27;11:00;51;max;00251
1998-02-27;17:25;-63;min;00251
1998-02-28;0:10;52;max;00251
1998-02-28;5:55;-24;min;00251
1998-02-28;11:30;52;max;00251
1998-02-28;18:00;-48;min;00251
1998-03-01;0:50;68;max;00251
1998-03-01;7:00;-16;min;00251
1998-03-01;12:20;48;max;00251
1998-03-01;18:10;-32;min;00251
1998-03-02;0:50;70;max;00251
1998-03-02;7:20;-29;min;00251
1998-03-02;13:20;32;max;00251
1998-03-02;18:30;-21;min;00251
1998-03-03;1:15;59;max;00251
1998-03-03;8:10;-26;min;00251
1998-03-03;13:55;30;max;00251
1998-03-03;19:00;-8;min;00251
1998-03-04;1:20;46;max;00251
1998-03-04;9:00;-20;min;00251
1998-03-04;14:45;23;max;00251
1998-03-04;19:15;2;min;00251
1998-03-05;2:15;43;max;00251
1998-03-05;10:25;-2;min;00251
1998-03-05;16:30;25;max;00251
1998-03-05;22:05;20;min;00251
1998-03-06;2:15;25;max;00251
1998-03-06;11:50;-31;min;00251
1998-03-06;19:55;32;max;00251
1998-03-07;2:30;19;min;00251
1998-03-07;7:00;27;max;00251
1998-03-07;13:05;-16;min;00251
1998-03-07;21:20;48;max;00251
1998-03-08;2:30;17;min;00251
1998-03-08;7:30;46;max;00251
1998-03-08;14:30;-13;min;00251
1998-03-08;21:20;62;max;00251
1998-03-09;3:20;12;min;00251
1998-03-09;8:15;52;max;00251
1998-03-09;14:55;-21;min;00251
1998-03-09;21:00;56;max;00251
1998-03-10;4:50;-10;min;00251
1998-03-10;9:05;36;max;00251
1998-03-10;15:25;-56;min;00251
1998-03-10;22:40;54;max;00251
1998-03-11;4:35;-10;min;00251
1998-03-11;10:00;46;max;00251
1998-03-11;16:05;-39;min;00251
1998-03-11;22:10;55;max;00251
1998-03-12;4:10;-17;min;00251
1998-03-12;10:00;51;max;00251
1998-03-12;16:35;-26;min;00251
1998-03-12;22:50;59;max;00251
1998-03-13;5:05;-17;min;00251
1998-03-13;11:05;57;max;00251
1998-03-13;17:10;-28;min;00251
1998-03-13;23:15;54;max;00251
1998-03-14;5:15;-25;min;00251
1998-03-14;11:25;48;max;00251
1998-03-14;17:20;-36;min;00251
1998-03-14;23:55;48;max;00251
1998-03-15;6:05;-37;min;00251
1998-03-15;11:50;36;max;00251
1998-03-15;18:05;-39;min;00251
1998-03-15;23:50;43;max;00251
1998-03-16;6:05;-42;min;00251
1998-03-16;12:00;30;max;00251
1998-03-16;18:05;-40;min;00251
1998-03-17;0:25;36;max;00251
1998-03-17;6:20;-31;min;00251
1998-03-17;12:05;31;max;00251
1998-03-17;17:35;-29;min;00251
1998-03-18;0:40;43;max;00251
1998-03-18;7:05;-25;min;00251
1998-03-18;12:20;11;max;00251
1998-03-18;18:15;-20;min;00251
