"Data;Ora;Valore;Tipo;ID staz"
"2001-01-01;2:35;83;max;00251"
"2001-01-01;8:30;41;min;00251"
"2001-01-01;13:20;72;max;00251"
"2001-01-01;19:40;17;min;00251"
"2001-01-02;4:10;72;max;00251"
"2001-01-02;13:45;52;min;00251"
"2001-01-02;14:50;54;max;00251"
"2001-01-02;19:30;44;min;00251"
"2001-01-03;5:35;110;max;00251"
"2001-01-03;22:00;32;min;00251"
"2001-01-04;5:45;94;max;00251"
"2001-01-04;13:40;17;min;00251"
"2001-01-04;21:15;55;max;00251"
"2001-01-04;23:40;52;min;00251"
"2001-01-05;5:50;83;max;00251"
"2001-01-05;14:10;-5;min;00251"
"2001-01-05;21:30;75;max;00251"
"2001-01-06;2:30;52;min;00251"
"2001-01-06;7:50;83;max;00251"
"2001-01-06;14:25;7;min;00251"
"2001-01-06;21:30;107;max;00251"
"2001-01-07;3:05;55;min;00251"
"2001-01-07;8:25;108;max;00251"
"2001-01-07;15:15;27;min;00251"
"2001-01-07;21:35;112;max;00251"
"2001-01-08;2:50;48;min;00251"
"2001-01-08;10:00;111;max;00251"
"2001-01-08;16:40;8;min;00251"
"2001-01-08;22:20;87;max;00251"
"2001-01-09;4:15;20;min;00251"
"2001-01-09;10:00;103;max;00251"
"2001-01-09;17:05;-16;min;00251"
"2001-01-09;23:10;76;max;00251"
"2001-01-10;4:20;24;min;00251"
"2001-01-10;10:15;95;max;00251"
"2001-01-10;18:00;-24;min;00251"
"2001-01-11;0:30;68;max;00251"
"2001-01-11;5:30;27;min;00251"
"2001-01-11;11:20;87;max;00251"
"2001-01-11;18:40;-37;min;00251"
"2001-01-12;1:25;72;max;00251"
"2001-01-12;6:30;20;min;00251"
"2001-01-12;11:45;73;max;00251"
"2001-01-12;18:55;-36;min;00251"
"2001-01-13;1:50;80;max;00251"
"2001-01-13;7:10;28;min;00251"
"2001-01-13;12:10;67;max;00251"
"2001-01-13;19:05;-8;min;00251"
"2001-01-14;2:15;68;max;00251"
"2001-01-14;8:30;24;min;00251"
"2001-01-14;12:40;54;max;00251"
"2001-01-14;19:45;3;min;00251"
"2001-01-15;3:40;60;max;00251"
"2001-01-15;9:40;16;min;00251"
"2001-01-15;14:35;32;max;00251"
"2001-01-15;20:55;-2;min;00251"
"2001-01-16;4:10;59;max;00251"
"2001-01-16;10:45;9;min;00251"
"2001-01-16;15:00;27;max;00251"
"2001-01-16;21:15;0;min;00251"
"2001-01-17;4:55;59;max;00251"
"2001-01-17;12:15;4;min;00251"
"2001-01-17;20:20;16;max;00251"
"2001-01-17;22:35;14;min;00251"
"2001-01-18;5:40;63;max;00251"
"2001-01-18;14:35;-2;min;00251"
"2001-01-18;21:15;28;max;00251"
"2001-01-19;0:45;19;min;00251"
"2001-01-19;6:40;55;max;00251"
"2001-01-19;14:50;-21;min;00251"
"2001-01-19;21:35;35;max;00251"
"2001-01-20;1:30;16;min;00251"
"2001-01-20;7:30;59;max;00251"
"2001-01-20;15:10;-21;min;00251"
"2001-01-20;21:40;47;max;00251"
"2001-01-21;2:35;19;min;00251"
"2001-01-21;8:05;60;max;00251"
"2001-01-21;15:45;-24;min;00251"
"2001-01-21;22:30;48;max;00251"
"2001-01-22;3:30;12;min;00251"
"2001-01-22;9:25;62;max;00251"
"2001-01-22;16:20;-28;min;00251"
"2001-01-22;23:00;55;max;00251"
"2001-01-23;3:50;14;min;00251"
"2001-01-23;9:45;72;max;00251"
"2001-01-23;16:40;-26;min;00251"
"2001-01-23;23:20;59;max;00251"
"2001-01-24;4:30;9;min;00251"
"2001-01-24;10:30;72;max;00251"
"2001-01-24;17:05;-25;min;00251"
"2001-01-25;0:00;81;max;00251"
"2001-01-25;5:30;32;min;00251"
"2001-01-25;10:20;80;max;00251"
"2001-01-25;17:30;-18;min;00251"
"2001-01-26;0:40;94;max;00251"
"2001-01-26;6:25;35;min;00251"
"2001-01-26;10:55;70;max;00251"
"2001-01-26;17:30;-16;min;00251"
"2001-01-27;0:40;87;max;00251"
"2001-01-27;6:55;20;min;00251"
"2001-01-27;12:10;72;max;00251"
"2001-01-27;17:50;0;min;00251"
