Data;Ora solare;Valore;Tipo;;
2009-01-01;02:10;37;max;;
2009-01-01;07:00;13;min;;
2009-01-01;12:15;47;max;;
2009-01-01;19:10;-39;min;;
2009-01-02;02:50;28;max;;
2009-01-02;07:15;11;min;;
2009-01-02;12:40;43;max;;
2009-01-02;19:40;-27;min;;
2009-01-03;04:00;50;max;;
2009-01-03;09:55;16;min;;
2009-01-03;13:35;29;max;;
2009-01-03;20:20;-23;min;;
2009-01-04;04:15;49;max;;
2009-01-04;11:25;-1;min;;
2009-01-04;14:25;5;max;;
2009-01-04;20:00;-16;min;;
2009-01-05;04:50;61;max;;
2009-01-05;12:40;-4;min;;
2009-01-06;05:35;63;max;;
2009-01-06;14:15;-15;min;;
2009-01-06;21:25;31;max;;
2009-01-06;23:25;29;min;;
2009-01-07;06:45;65;max;;
2009-01-07;14:25;-21;min;;
2009-01-07;21:30;53;max;;
2009-01-08;01:40;37;min;;
2009-01-08;07:00;73;max;;
2009-01-08;15:25;-32;min;;
2009-01-08;22:45;49;max;;
2009-01-09;03:20;17;min;;
2009-01-09;08:50;55;max;;
2009-01-09;16:20;-52;min;;
2009-01-09;22:55;43;max;;
2009-01-10;03:35;1;min;;
2009-01-10;09:35;57;max;;
2009-01-10;16:35;-57;min;;
2009-01-10;23:40;45;max;;
2009-01-11;04:35;-4;min;;
2009-01-11;10:15;58;max;;
2009-01-11;17:25;-58;min;;
2009-01-12;00:15;45;max;;
2009-01-12;05:20;-5;min;;
2009-01-12;11:05;57;max;;
2009-01-12;18:05;-59;min;;
2009-01-13;00:45;43;max;;
2009-01-13;06:05;-10;min;;
2009-01-13;11:45;48;max;;
2009-01-13;18:35;-48;min;;
2009-01-14;02:05;61;max;;
2009-01-14;07:10;9;min;;
2009-01-14;12:15;55;max;;
2009-01-14;18:35;-32;min;;
2009-01-15;02:10;71;max;;
2009-01-15;08:10;8;min;;
2009-01-15;12:55;41;max;;
2009-01-15;19:05;-26;min;;
2009-01-16;02:20;57;max;;
2009-01-16;08:40;-9;min;;
2009-01-16;13:10;21;max;;
2009-01-16;19:30;-28;min;;
2009-01-17;03:00;50;max;;
2009-01-17;09:10;-2;min;;
2009-01-17;13:20;16;max;;
2009-01-17;18:25;-6;min;;
2009-01-18;03:00;52;max;;
2009-01-18;11:00;1;min;;
2009-01-19;02:35;57;max;;
2009-01-19;13:05;-14;min;;
2009-01-20;05:20;65;max;;
2009-01-20;13:15;17;min;;
2009-01-20;21:55;76;max;;
2009-01-21;02:55;45;min;;
2009-01-21;07:10;54;max;;
2009-01-21;13:45;5;min;;
2009-01-21;21:30;63;max;;
2009-01-22;03:35;27;min;;
2009-01-22;08:35;54;max;;
2009-01-22;15:45;-3;min;;
2009-01-22;22:05;55;max;;
2009-01-23;03:15;16;min;;
2009-01-23;09:20;70;max;;
2009-01-23;16:05;-3;min;;
2009-01-23;22:25;76;max;;
2009-01-24;03:50;29;min;;
2009-01-24;09:10;86;max;;
2009-01-24;16:25;-5;min;;
2009-01-24;23:20;92;max;;
2009-01-25;03:55;57;min;;
2009-01-25;08:40;96;max;;
2009-01-25;16:30;0;min;;
2009-01-25;23:40;96;max;;
2009-01-26;05:45;43;min;;
2009-01-26;10:35;86;max;;
2009-01-26;17:00;5;min;;
2009-01-27;00:30;108;max;;
2009-01-27;06:05;46;min;;
2009-01-27;11:05;95;max;;
2009-01-27;17:35;7;min;;
2009-01-28;00:20;101;max;;
2009-01-28;06:00;36;min;;
2009-01-28;11:40;95;max;;
2009-01-28;17:55;11;min;;
2009-01-29;00:15;85;max;;
2009-01-29;06:25;25;min;;
2009-01-29;11:50;85;max;;
2009-01-29;18:35;4;min;;
2009-01-30;01:05;72;max;;
2009-01-30;07:05;22;min;;
2009-01-30;12:30;78;max;;
2009-01-30;19:00;-4;min;;
2009-01-31;01:55;80;max;;
2009-01-31;07:30;31;min;;
2009-01-31;12:30;68;max;;
2009-01-31;18:55;0;min;;
2009-02-01;02:35;84;max;;
2009-02-01;08:50;32;min;;
2009-02-01;13:40;61;max;;
2009-02-01;18:50;24;min;;
2009-02-02;02:30;106;max;;
2009-02-02;09:55;37;min;;
2009-02-02;14:40;60;max;;
2009-02-02;17:30;43;min;;
2009-02-03;03:15;119;max;;
2009-02-03;12:40;36;min;;
2009-02-04;04:00;101;max;;
2009-02-04;13:15;22;min;;
2009-02-04;22:10;83;max;;
2009-02-05;02:15;76;min;;
2009-02-05;06:00;83;max;;
2009-02-05;14:10;16;min;;
2009-02-05;21:15;89;max;;
2009-02-06;02:25;60;min;;
2009-02-06;08:05;87;max;;
2009-02-06;14:55;30;min;;
2009-02-06;21:50;104;max;;
2009-02-07;03:35;56;min;;
2009-02-07;09:10;118;max;;
2009-02-07;16:00;30;min;;
2009-02-07;21:45;107;max;;
2009-02-08;03:40;48;min;;
2009-02-08;09:55;123;max;;
2009-02-08;16:35;15;min;;
2009-02-08;23:15;89;max;;
2009-02-09;04:05;41;min;;
2009-02-09;10:15;110;max;;
2009-02-09;17:35;0;min;;
2009-02-09;23:55;91;max;;
2009-02-10;05:10;37;min;;
2009-02-10;11:10;107;max;;
2009-02-10;18:10;9;min;;
2009-02-11;00:15;110;max;;
2009-02-11;06:25;30;min;;
2009-02-11;11:50;80;max;;
2009-02-11;18:05;0;min;;
2009-02-12;00:40;99;max;;
2009-02-12;07:15;19;min;;
2009-02-12;12:05;78;max;;
2009-02-12;18:15;0;min;;
2009-02-13;00:45;83;max;;
2009-02-13;06:50;16;min;;
2009-02-13;12:25;66;max;;
2009-02-13;18:35;-1;min;;
2009-02-14;01:25;73;max;;
2009-02-14;07:45;14;min;;
2009-02-14;12:35;46;max;;
2009-02-14;18:20;-2;min;;
2009-02-15;02:00;71;max;;
2009-02-15;08:55;8;min;;
2009-02-15;12:55;27;max;;
2009-02-15;17:40;5;min;;
2009-02-16;01:55;65;max;;
2009-02-16;09:35;6;min;;
2009-02-16;15:05;19;max;;
2009-02-16;17:35;16;min;;
2009-02-17;01:15;58;max;;
2009-02-17;11:15;8;min;;
2009-02-17;22:45;51;max;;
2009-02-18;01:05;48;min;;
2009-02-18;02:50;71;max;;
2009-02-18;14:35;-21;min;;
2009-02-19;01:50;41;max;;
2009-02-19;13:50;-28;min;;
2009-02-19;23:05;42;max;;
2009-02-20;03:45;10;min;;
2009-02-20;07:30;30;max;;
2009-02-20;15:30;-36;min;;
2009-02-20;22:30;44;max;;
2009-02-21;03:05;4;min;;
2009-02-21;08:40;46;max;;
2009-02-21;15:25;-41;min;;
2009-02-21;22:15;45;max;;
2009-02-22;03:05;0;min;;
2009-02-22;08:45;49;max;;
2009-02-22;15:45;-39;min;;
2009-02-22;22:40;47;max;;
2009-02-23;03:45;-2;min;;
2009-02-23;09:05;53;max;;
2009-02-23;16:30;-37;min;;
2009-02-23;23:05;52;max;;
2009-02-24;04:40;-2;min;;
2009-02-24;10:00;51;max;;
2009-02-24;16:45;-43;min;;
2009-02-24;23:30;53;max;;
2009-02-25;05:20;-19;min;;
2009-02-25;10:45;44;max;;
2009-02-25;17:05;-48;min;;
2009-02-25;23:50;50;max;;
2009-02-26;05:40;-27;min;;
2009-02-26;11:15;44;max;;
2009-02-26;17:15;-46;min;;
2009-02-27;00:10;53;max;;
2009-02-27;06:00;-22;min;;
2009-02-27;11:40;40;max;;
2009-02-27;17:50;-41;min;;
2009-02-28;00:25;54;max;;
2009-02-28;06:30;-30;min;;
2009-02-28;12:15;31;max;;
2009-02-28;17:50;-32;min;;
2009-03-01;00:45;56;max;;
2009-03-01;07:20;-25;min;;
2009-03-01;13:05;29;max;;
2009-03-01;17:40;-9;min;;
2009-03-02;00:40;60;max;;
2009-03-02;07:30;-20;min;;
2009-03-02;13:45;28;max;;
2009-03-02;18:25;3;min;;
2009-03-03;00:50;48;max;;
2009-03-03;08:25;-13;min;;
2009-03-03;14:55;21;max;;
2009-03-03;18:40;14;min;;
2009-03-04;02:30;43;max;;
2009-03-04;09:50;0;min;;
2009-03-05;04:15;98;max;;
2009-03-05;11:40;33;min;;
2009-03-05;16:45;59;max;;
2009-03-05;21:25;47;min;;
2009-03-06;03:10;83;max;;
2009-03-06;15:00;0;min;;
2009-03-06;22:10;87;max;;
2009-03-07;03:15;37;min;;
2009-03-07;08:05;78;max;;
2009-03-07;15:00;-15;min;;
2009-03-07;21:20;79;max;;
2009-03-08;03:25;21;min;;
2009-03-08;08:30;71;max;;
2009-03-08;15:15;-11;min;;
2009-03-08;22:05;84;max;;
2009-03-09;03:45;20;min;;
2009-03-09;09:20;79;max;;
2009-03-09;16:10;-11;min;;
2009-03-09;22:10;78;max;;
2009-03-10;05:10;-7;min;;
2009-03-10;10:50;67;max;;
2009-03-10;16:30;-17;min;;
2009-03-10;23:15;91;max;;
2009-03-11;05:15;-6;min;;
2009-03-11;10:55;75;max;;
2009-03-11;16:55;-14;min;;
2009-03-11;23:00;79;max;;
2009-03-12;05:40;-20;min;;
2009-03-12;11:20;53;max;;
2009-03-12;17:00;-18;min;;
2009-03-12;23:30;68;max;;
2009-03-13;05:40;-9;min;;
2009-03-13;11:45;57;max;;
2009-03-13;17:45;-6;min;;
2009-03-14;00:05;65;max;;
2009-03-14;06:30;-15;min;;
