Data;Ora solare;Valore;Tipo
01/01/2011;01:45;32; min
01/01/2011;07:35;71; max
01/01/2011;15:30;-18; min
01/01/2011;22:45;62; max
02/01/2011;03:15;32; min
02/01/2011;08:45;74; max
02/01/2011;16:10;-20; min
02/01/2011;23:10;65; max
03/01/2011;03:45;28; min
03/01/2011;08:55;77; max
03/01/2011;16:55;-25; min
03/01/2011;23:40;60; max
04/01/2011;04:25;19; min
04/01/2011;10:15;78; max
04/01/2011;17:25;-25; min
05/01/2011;00:05;63; max
05/01/2011;05:05;24; min
05/01/2011;10:25;75; max
05/01/2011;17:30;-26; min
06/01/2011;00:40;65; max
06/01/2011;05:55;23; min
06/01/2011;10:55;69; max
06/01/2011;18:00;-25; min
07/01/2011;01:15;70; max
07/01/2011;06:40;22; min
07/01/2011;11:35;63; max
07/01/2011;18:20;-19; min
08/01/2011;01:25;73; max
08/01/2011;07:10;21; min
08/01/2011;12:00;65; max
08/01/2011;18:30;-8; min
09/01/2011;01:35;67; max
09/01/2011;07:35;16; min
09/01/2011;12:55;56; max
09/01/2011;18:50;-4; min
10/01/2011;02:15;61; max
10/01/2011;08:15;19; min
10/01/2011;13:05;58; max
10/01/2011;19:25;7; min
11/01/2011;02:10;72; max
11/01/2011;08:50;33; min
11/01/2011;13:20;50; max
11/01/2011;19:30;13; min
12/01/2011;03:00;65; max
12/01/2011;11:00;18; min
12/01/2011;13:30;23; max
12/01/2011;18:40;6; min
13/01/2011;04:35;60; max
13/01/2011;13:10;9; min
14/01/2011;05:05;63; max
14/01/2011;14:20;-5; min
15/01/2011;06:05;65; max
15/01/2011;14:45;-16; min
15/01/2011;20:50;32; max
16/01/2011;01:15;18; min
16/01/2011;08:15;56; max
16/01/2011;15:40;-33; min
16/01/2011;22:15;33; max
17/01/2011;02:15;14; min
17/01/2011;08:15;66; max
17/01/2011;16:10;-37; min
17/01/2011;22:50;54; max
18/01/2011;03:15;23; min
18/01/2011;09:00;71; max
18/01/2011;16:30;-43; min
18/01/2011;23:30;60; max
19/01/2011;04:30;18; min
19/01/2011;09:50;68; max
19/01/2011;17:00;-42; min
20/01/2011;00:10;66; max
20/01/2011;05:25;11; min
20/01/2011;10:15;72; max
20/01/2011;17:20;-29; min
21/01/2011;00:10;71; max
21/01/2011;05:35;8; min
21/01/2011;11:40;72; max
21/01/2011;18:20;-18; min
22/01/2011;00:55;69; max
22/01/2011;06:15;15; min
22/01/2011;12:40;77; max
22/01/2011;19:00;-9; min
23/01/2011;01:30;81; max
23/01/2011;07:20;9; min
23/01/2011;12:35;61; max
23/01/2011;19:10;-21; min
24/01/2011;02:05;64; max
24/01/2011;08:00;1; min
24/01/2011;12:50;49; max
24/01/2011;19:25;-19; min
25/01/2011;02:35;61; max
25/01/2011;09:00;1; min
25/01/2011;13:40;28; max
25/01/2011;19:25;-10; min
26/01/2011;03:25;68; max
26/01/2011;10:25;1; min
26/01/2011;14:40;19; max
26/01/2011;18:30;9; min
27/01/2011;03:35;66; max
27/01/2011;11:50;-1; min
28/01/2011;04:30;60; max
28/01/2011;13:50;-1; min
28/01/2011;23:55;44; max
29/01/2011;01:20;43; min
29/01/2011;07:05;60; max
29/01/2011;15:20;-14; min
29/01/2011;22:05;52; max
30/01/2011;01:55;33; min
30/01/2011;07:35;64; max
30/01/2011;15:25;-13; min
30/01/2011;22:40;62; max
31/01/2011;03:25;21; min
31/01/2011;09:00;65; max
31/01/2011;15:55;-11; min
31/01/2011;22:35;58; max
01/02/2011;03:50;12; min
01/02/2011;09:40;63; max
01/02/2011;16:45;-25; min
01/02/2011;23:20;55; max
02/02/2011;04:30;9; min
02/02/2011;10:10;71; max
02/02/2011;17:15;-33; min
02/02/2011;23:50;60; max
03/02/2011;04:55;4; min
03/02/2011;10:25;67; max
03/02/2011;17:30;-43; min
04/02/2011;00:15;53; max
04/02/2011;05:30;2; min
04/02/2011;10:50;61; max
04/02/2011;17:35;-41; min
05/02/2011;00:40;58; max
05/02/2011;06:05;4; min
05/02/2011;11:10;56; max
05/02/2011;17:50;-36; min
06/02/2011;01:00;60; max
06/02/2011;06:30;-3; min
