Data;Ora solare;Valore ;Tipo
2012-01-01;04:25;40; max
2012-01-01;09:50;7; min
2012-01-01;13:45;24; max
2012-01-01;21:40;6; min
2012-01-02;05:15;48; max
2012-01-02;13:40;8; min
2012-01-02;18:05;30; max
2012-01-02;21:20;21; min
2012-01-03;05:40;72; max
2012-01-03;13:55;-3; min
2012-01-04;05:50;55; max
2012-01-04;15:10;-16; min
2012-01-04;22:20;36; max
2012-01-05;03:30;18; min
2012-01-05;08:35;48; max
2012-01-05;14:50;-14; min
2012-01-05;22:25;67; max
2012-01-06;03:45;19; min
2012-01-06;07:40;45; max
2012-01-06;15:45;-43; min
2012-01-06;21:45;32; max
2012-01-07;03:00;-7; min
2012-01-07;09:45;58; max
2012-01-07;16:40;-34; min
2012-01-07;23:30;45; max
2012-01-08;04:25;16; min
2012-01-08;09:25;68; max
2012-01-08;16:50;-39; min
2012-01-08;23:40;56; max
2012-01-09;04:30;18; min
2012-01-09;10:00;61; max
2012-01-09;17:15;-49; min
2012-01-10;00:20;55; max
2012-01-10;05:25;3; min
2012-01-10;10:55;57; max
2012-01-10;17:40;-46; min
2012-01-11;00:10;49; max
2012-01-11;05:50;-7; min
2012-01-11;11:40;43; max
2012-01-11;18:05;-49; min
2012-01-12;01:00;48; max
2012-01-12;06:30;-11; min
2012-01-12;11:50;42; max
2012-01-12;18:25;-40; min
2012-01-13;01:30;51; max
2012-01-13;07:15;-4; min
2012-01-13;12:45;43; max
2012-01-13;19:15;-30; min
2012-01-14;02:00;51; max
2012-01-14;08:05;-6; min
2012-01-14;12:25;26; max
2012-01-14;19:15;-26; min
2012-01-15;02:45;47; max
2012-01-15;09:25;-11; min
2012-01-15;14:10;14; max
2012-01-15;19:45;-17; min
2012-01-16;03:35;46; max
2012-01-16;10:15;-4; min
2012-01-16;14:00;6; max
2012-01-16;19:45;-8; min
2012-01-17;04:30;40; max
2012-01-17;13:05;-20; min
2012-01-17;21:00;12; max
2012-01-17;22:50;10; min
2012-01-18;05:05;43; max
2012-01-18;14:20;-31; min
2012-01-18;21:25;22; max
2012-01-19;01:10;10; min
2012-01-19;07:00;44; max
2012-01-19;14:30;-39; min
2012-01-19;21:25;37; max
2012-01-20;02:05;14; min
2012-01-20;07:45;56; max
2012-01-20;15:25;-32; min
2012-01-20;22:25;46; max
2012-01-21;03:35;4; min
2012-01-21;08:35;45; max
2012-01-21;16:10;-41; min
2012-01-21;22:50;49; max
2012-01-22;04:00;2; min
2012-01-22;10:25;65; max
2012-01-22;16:45;-35; min
2012-01-22;23:35;59; max
2012-01-23;04:50;7; min
2012-01-23;10:15;68; max
2012-01-23;17:00;-43; min
2012-01-24;00:15;57; max
2012-01-24;05:30;3; min
2012-01-24;10:30;55; max
2012-01-24;17:50;-51; min
2012-01-24;23:55;48; max
2012-01-25;05:20;-8; min
2012-01-25;11:00;39; max
2012-01-25;17:35;-53; min
2012-01-26;01:00;40; max
2012-01-26;06:35;-13; min
2012-01-26;11:40;38; max
2012-01-26;18:20;-45; min
2012-01-27;01:35;49; max
2012-01-27;07:10;-5; min
2012-01-27;12:05;41; max
2012-01-27;18:30;-32; min
2012-01-28;01:55;54; max
2012-01-28;07:50;0; min
2012-01-28;12:20;33; max
2012-01-28;18:40;-23; min
2012-01-29;02:00;54; max
2012-01-29;08:40;6; min
2012-01-29;12:55;25; max
2012-01-29;18:35;-4; min
2012-01-30;02:15;43; max
2012-01-30;10:20;-4; min
2012-01-30;13:45;12; max
2012-01-30;18:30;-4; min
2012-01-31;03:00;43; max
2012-01-31;10:25;0; min
2012-01-31;13:10;6; max
2012-01-31;14:05;5; min
2012-02-01;07:10;53; max
2012-02-01;12:35;32; min
2012-02-01;20:40;75; max
2012-02-02;03:10;34; min
2012-02-02;07:00;47; max
2012-02-02;14:45;5; min
2012-02-02;20:05;45; max
2012-02-03;01:25;11; min
2012-02-03;08:15;56; max
2012-02-03;14:00;0; min
2012-02-03;21:00;44; max
2012-02-04;02:00;20; min
2012-02-04;08:10;76; max
2012-02-04;16:25;-19; min
2012-02-04;21:55;37; max
2012-02-05;02:20;22; min
2012-02-05;08:55;72; max
2012-02-05;16:20;-42; min
2012-02-05;23:05;38; max
2012-02-06;03:55;0; min
2012-02-06;09:10;53; max
2012-02-06;16:15;-54; min
2012-02-06;23:35;42; max
2012-02-07;04:00;3; min
2012-02-07;09:55;66; max
2012-02-07;17:00;-18; min
2012-02-07;23:30;79; max
2012-02-08;05:25;25; min
2012-02-08;10:45;73; max
2012-02-08;17:50;-30; min
2012-02-09;00:10;62; max
2012-02-09;05:50;-8; min
2012-02-09;11:55;56; max
2012-02-09;17:55;-40; min
2012-02-10;00:40;69; max
2012-02-10;06:35;4; min
2012-02-10;12:00;53; max
2012-02-10;17:55;-11; min
2012-02-11;01:50;89; max
2012-02-11;08:25;19; min
2012-02-11;12:30;52; max
2012-02-11;18:55;-16; min
2012-02-12;01:45;73; max
2012-02-12;08:20;-18; min
2012-02-12;14:10;31; max
2012-02-12;19:00;-17; min
2012-02-13;01:30;55; max
2012-02-13;08:55;-32; min
2012-02-13;14:05;6; max
2012-02-13;18:40;-11; min
2012-02-14;02:25;46; max
2012-02-14;09:45;-22; min
2012-02-14;16:00;8; max
2012-02-14;19:55;3; min
2012-02-15;03:05;34; max
2012-02-15;10:25;-13; min
2012-02-15;19:50;27; max
2012-02-15;23:15;23; min
2012-02-16;04:45;31; max
2012-02-16;14:35;-18; min
2012-02-16;21:25;22; max
2012-02-17;01:55;-3; min
2012-02-17;08:10;30; max
2012-02-17;15:05;-37; min
2012-02-17;21:45;33; max
2012-02-18;02:30;-6; min
