data;ora solare;valore;tipo;;
01/01/2013;01:25;0.60;max;;
01/01/2013;06:55;0.15;min;;
01/01/2013;12:00;0.54;max;;
01/01/2013;18:55;-0.20;min;;
02/01/2013;01:55;0.63;max;;
02/01/2013;07:35;0.14;min;;
02/01/2013;12:20;0.51;max;;
02/01/2013;19:40;-0.16;min;;
03/01/2013;02:15;0.57;max;;
03/01/2013;08:10;0.04;min;;
03/01/2013;13:05;0.34;max;;
03/01/2013;19:35;-0.18;min;;
04/01/2013;02:55;0.47;max;;
04/01/2013;09:15;-0.03;min;;
04/01/2013;13:20;0.13;max;;
04/01/2013;20:00;-0.16;min;;
05/01/2013;04:05;0.46;max;;
05/01/2013;11:00;-0.01;min;;
05/01/2013;14:15;0.08;max;;
05/01/2013;20:40;-0.09;min;;
06/01/2013;04:50;0.47;max;;
06/01/2013;13:05;-0.23;min;;
06/01/2013;20:55;0.15;max;;
06/01/2013;22:35;0.13;min;;
07/01/2013;05:30;0.59;max;;
07/01/2013;14:10;-0.40;min;;
07/01/2013;21:25;0.37;max;;
08/01/2013;00:50;0.21;min;;
08/01/2013;06:20;0.56;max;;
08/01/2013;14:25;-0.44;min;;
08/01/2013;22:05;0.48;max;;
09/01/2013;02:40;0.15;min;;
09/01/2013;07:50;0.53;max;;
09/01/2013;15:30;-0.38;min;;
09/01/2013;22:40;0.55;max;;
10/01/2013;03:30;0.10;min;;
10/01/2013;09:20;0.67;max;;
10/01/2013;16:15;-0.30;min;;
10/01/2013;23:00;0.62;max;;
11/01/2013;04:10;0.11;min;;
11/01/2013;10:05;0.76;max;;
11/01/2013;16:55;-0.25;min;;
11/01/2013;23:40;0.59;max;;
12/01/2013;04:55;0.05;min;;
12/01/2013;10:45;0.71;max;;
12/01/2013;17:45;-0.26;min;;
13/01/2013;00:30;0.64;max;;
13/01/2013;05:55;0.11;min;;
13/01/2013;11:45;0.80;max;;
13/01/2013;18:20;-0.17;min;;
14/01/2013;01:15;0.82;max;;
14/01/2013;06:10;0.30;min;;
14/01/2013;11:40;0.96;max;;
14/01/2013;18:35;-0.06;min;;
15/01/2013;01:20;0.75;max;;
15/01/2013;07:05;0.28;min;;
15/01/2013;12:30;0.75;max;;
15/01/2013;19:05;-0.07;min;;
16/01/2013;02:05;0.83;max;;
16/01/2013;07:55;0.31;min;;
16/01/2013;13:50;0.90;max;;
16/01/2013;20:50;0.30;min;;
17/01/2013;01:40;0.77;max;;
17/01/2013;08:20;0.30;min;;
17/01/2013;14:20;0.87;max;;
17/01/2013;20:50;0.19;min;;
18/01/2013;03:25;0.65;max;;
18/01/2013;09:05;0.45;min;;
18/01/2013;13:00;0.62;max;;
18/01/2013;20:20;0.14;min;;
19/01/2013;05:05;0.75;max;;
19/01/2013;12:25;0.35;min;;
19/01/2013;16:25;0.40;max;;
19/01/2013;20:40;0.32;min;;
20/01/2013;05:15;0.98;max;;
20/01/2013;14:00;0.34;min;;
21/01/2013;06:45;1.05;max;;
21/01/2013;15:05;0.36;min;;
21/01/2013;21:35;0.75;max;;
22/01/2013;01:55;0.57;min;;
22/01/2013;08:20;0.87;max;;
22/01/2013;15:25;0.27;min;;
22/01/2013;21:00;0.78;max;;
