data;ora solare;valore;tipo;
01/01/2014;04:20;0.22;min;
01/01/2014;10:05;0.81;max;
01/01/2014;17:25;-0.26;min;
01/01/2014;23:55;0.68;max;
02/01/2014;05:10;0.17;min;
02/01/2014;10:50;0.81;max;
02/01/2014;17:55;-0.22;min;
03/01/2014;00:50;0.73;max;
03/01/2014;06:15;0.16;min;
03/01/2014;11:50;0.80;max;
03/01/2014;18:25;-0.24;min;
04/01/2014;01:10;0.71;max;
04/01/2014;06:45;0.17;min;
04/01/2014;12:05;0.74;max;
04/01/2014;17:45;0.14;min;
05/01/2014;01:20;1.03;max;
05/01/2014;08:50;0.38;min;
05/01/2014;13:40;0.83;max;
05/01/2014;19:05;0.28;min;
06/01/2014;01:45;0.81;max;
06/01/2014;08:20;0.07;min;
06/01/2014;14:10;0.71;max;
06/01/2014;20:30;0.15;min;
07/01/2014;02:30;0.58;max;
07/01/2014;08:30;0.21;min;
07/01/2014;14:05;0.53;max;
07/01/2014;20:55;0.04;min;
08/01/2014;04:40;0.57;max;
08/01/2014;12:00;0.22;min;
08/01/2014;15:20;0.29;max;
08/01/2014;21:00;-0.01;min;
09/01/2014;05:40;0.63;max;
09/01/2014;13:30;0.10;min;
10/01/2014;05:50;0.72;max;
10/01/2014;14:55;-0.05;min;
10/01/2014;22:10;0.39;max;
11/01/2014;00:40;0.34;min;
11/01/2014;06:55;0.66;max;
11/01/2014;14:55;-0.17;min;
11/01/2014;21:35;0.51;max;
12/01/2014;01:55;0.29;min;
12/01/2014;07:25;0.62;max;
12/01/2014;15:25;-0.24;min;
12/01/2014;22:10;0.54;max;
13/01/2014;03:05;0.21;min;
13/01/2014;08:25;0.63;max;
13/01/2014;15:45;-0.21;min;
13/01/2014;22:40;0.61;max;
14/01/2014;03:20;0.25;min;
14/01/2014;09:30;0.83;max;
14/01/2014;16:50;0.10;min;
14/01/2014;22:45;0.76;max;
15/01/2014;04:20;0.22;min;
15/01/2014;10:00;0.75;max;
15/01/2014;17:00;-0.13;min;
15/01/2014;23:20;0.65;max;
16/01/2014;04:45;0.16;min;
16/01/2014;10:40;0.79;max;
16/01/2014;17:20;-0.18;min;
16/01/2014;23:50;0.68;max;
17/01/2014;04:55;0.26;min;
17/01/2014;11:00;0.98;max;
17/01/2014;17:50;0.05;min;
18/01/2014;00:00;0.87;max;
18/01/2014;05:40;0.31;min;
18/01/2014;11:00;0.76;max;
18/01/2014;17:45;0.03;min;
19/01/2014;01:20;0.92;max;
19/01/2014;06:30;0.50;min;
19/01/2014;12:00;0.98;max;
19/01/2014;18:55;0.14;min;
20/01/2014;01:50;0.97;max;
20/01/2014;07:40;0.40;min;
20/01/2014;12:40;0.84;max;
20/01/2014;18:30;0.17;min;
21/01/2014;01:50;1.01;max;
21/01/2014;07:45;0.41;min;
21/01/2014;12:45;0.83;max;
21/01/2014;19:20;0.27;min;
22/01/2014;01:30;0.90;max;
22/01/2014;08:20;0.36;min;
22/01/2014;13:10;0.64;max;
22/01/2014;19:40;0.24;min;
23/01/2014;02:45;0.74;max;
23/01/2014;09:25;0.29;min;
23/01/2014;14:05;0.51;max;
23/01/2014;19:50;0.27;min;
24/01/2014;03:35;0.79;max;
24/01/2014;10:35;0.33;min;
24/01/2014;14:55;0.52;max;
24/01/2014;15:45;0.49;min;
24/01/2014;17:10;0.51;max;
24/01/2014;22:30;0.40;min;
25/01/2014;05:10;0.77;max;
25/01/2014;12:55;0.26;min;
25/01/2014;20:30;0.50;max;
26/01/2014;00:20;0.38;min;
26/01/2014;05:50;0.74;max;
26/01/2014;14:25;0.11;min;
26/01/2014;20:00;0.46;max;
27/01/2014;00:45;0.22;min;
27/01/2014;08:30;0.91;max;
27/01/2014;15:35;0.15;min;
27/01/2014;21:55;0.61;max;
28/01/2014;02:00;0.40;min;
28/01/2014;08:30;1.18;max;
28/01/2014;16:35;-0.01;min;
28/01/2014;22:45;0.62;max;
29/01/2014;02:40;0.42;min;
29/01/2014;09:00;1.13;max;
29/01/2014;17:00;-0.16;min;
29/01/2014;23:40;0.82;max;
30/01/2014;03:50;0.57;min;
30/01/2014;09:55;1.13;max;
30/01/2014;17:10;-0.05;min;
31/01/2014;01:25;1.22;max;
31/01/2014;05:00;0.84;min;
31/01/2014;09:45;1.25;max;
31/01/2014;17:50;0.01;min;
01/02/2014;00:20;1.04;max;
01/02/2014;06:25;0.53;min;
01/02/2014;11:05;1.01;max;
01/02/2014;18:15;0.02;min;
02/02/2014;01:15;1.05;max;
02/02/2014;07:10;0.26;min;
02/02/2014;12:25;0.90;max;
02/02/2014;18:15;0.10;min;
03/02/2014;01:00;1.09;max;
03/02/2014;07:15;0.33;min;
03/02/2014;12:35;0.82;max;
03/02/2014;18:35;0.17;min;
04/02/2014;01:40;0.81;max;
04/02/2014;07:50;0.33;min;
04/02/2014;13:15;0.80;max;
04/02/2014;19:50;0.29;min;
05/02/2014;02:15;0.84;max;
05/02/2014;08:55;0.28;min;
05/02/2014;13:45;0.63;max;
05/02/2014;19:25;0.21;min;
06/02/2014;02:40;0.81;max;
06/02/2014;09:10;0.33;min;
06/02/2014;13:35;0.45;max;
06/02/2014;19:25;0.21;min;
07/02/2014;04:30;0.70;max;
07/02/2014;13:15;0.25;min;
08/02/2014;02:45;0.99;max;
08/02/2014;14:20;0.08;min;
09/02/2014;06:10;0.84;max;
09/02/2014;14:10;0.17;min;
09/02/2014;21:40;0.82;max;
10/02/2014;04:25;0.27;min;
10/02/2014;09:15;0.59;max;
10/02/2014;14:15;0.27;min;
10/02/2014;22:15;1.23;max;
11/02/2014;04:15;0.52;min;
11/02/2014;08:25;0.80;max;
11/02/2014;14:30;0.16;min;
11/02/2014;21:50;0.92;max;
12/02/2014;03:25;0.37;min;
12/02/2014;09:20;0.74;max;
12/02/2014;15:50;0.09;min;
