data;ora solare;valore;tipo
01/01/2016;03:00;0.42;max
01/01/2016;09:25;0.09;min
01/01/2016;13:20;0.20;max
01/01/2016;19:45;-0.07;min
02/01/2016;04:00;0.48;max
02/01/2016;10:30;0.11;min
03/01/2016;05:25;0.76;max
03/01/2016;14:20;0.05;min
03/01/2016;18:15;0.21;max
03/01/2016;20:10;0.18;min
04/01/2016;05:55;0.73;max
04/01/2016;14:50;0.12;min
04/01/2016;21:40;0.52;max
05/01/2016;01:35;0.32;min
05/01/2016;08:05;0.62;max
05/01/2016;14:40;0.09;min
05/01/2016;20:45;0.67;max
06/01/2016;01:55;0.26;min
06/01/2016;07:25;0.81;max
06/01/2016;15:20;0.03;min
06/01/2016;20:45;0.58;max
07/01/2016;02:50;0.06;min
07/01/2016;09:10;0.75;max
07/01/2016;16:10;0.10;min
07/01/2016;21:55;0.69;max
08/01/2016;03:00;0.24;min
08/01/2016;09:55;0.94;max
08/01/2016;16:35;-0.01;min
08/01/2016;22:55;0.77;max
09/01/2016;04:05;0.37;min
09/01/2016;09:35;1.03;max
09/01/2016;17:00;-0.04;min
10/01/2016;00:15;0.87;max
10/01/2016;04:55;0.46;min
10/01/2016;10:40;1.02;max
10/01/2016;17:35;-0.10;min
11/01/2016;00:40;0.98;max
11/01/2016;05:40;0.47;min
11/01/2016;11:05;1.14;max
11/01/2016;17:45;0.14;min
12/01/2016;00:35;1.06;max
12/01/2016;06:00;0.36;min
12/01/2016;11:30;0.82;max
12/01/2016;18:15;0.05;min
13/01/2016;01:05;0.88;max
13/01/2016;07:25;0.28;min
13/01/2016;13:00;0.71;max
13/01/2016;19:15;-0.11;min
14/01/2016;02:00;0.73;max
14/01/2016;07:35;0.24;min
14/01/2016;13:05;0.79;max
14/01/2016;19:35;-0.04;min
15/01/2016;02:35;0.83;max
15/01/2016;08:05;0.32;min
15/01/2016;12:35;0.60;max
15/01/2016;19:40;-0.12;min
16/01/2016;03:35;0.80;max
16/01/2016;11:55;0.19;min
16/01/2016;14:15;0.26;max
16/01/2016;18:50;0.11;min
17/01/2016;04:35;0.65;max
17/01/2016;12:10;-0.03;min
17/01/2016;17:30;0.30;max
17/01/2016;22:05;0.03;min
18/01/2016;05:10;0.52;max
18/01/2016;12:40;-0.08;min
18/01/2016;19:35;0.37;max
19/01/2016;00:15;0.16;min
19/01/2016;06:25;0.65;max
19/01/2016;14:05;-0.04;min
19/01/2016;20:05;0.49;max
20/01/2016;00:45;0.24;min
20/01/2016;07:20;0.71;max
20/01/2016;15:15;-0.14;min
20/01/2016;21:50;0.51;max
21/01/2016;02:15;0.18;min
21/01/2016;08:20;0.73;max
21/01/2016;16:10;-0.28;min
21/01/2016;22:25;0.48;max
22/01/2016;03:05;0.14;min
22/01/2016;09:05;0.70;max
22/01/2016;16:30;-0.40;min
22/01/2016;23:10;0.49;max
23/01/2016;04:05;0.04;min
23/01/2016;09:40;0.63;max
23/01/2016;16:45;-0.45;min
23/01/2016;23:05;0.47;max
24/01/2016;04:50;-0.11;min
24/01/2016;10:20;0.46;max
24/01/2016;17:10;-0.45;min
24/01/2016;23:40;0.49;max
25/01/2016;05:20;-0.14;min
25/01/2016;11:05;0.47;max
25/01/2016;17:35;-0.42;min
26/01/2016;00:10;0.45;max
26/01/2016;05:50;-0.18;min
26/01/2016;11:30;0.45;max
26/01/2016;18:10;-0.45;min
27/01/2016;00:45;0.42;max
27/01/2016;06:15;-0.09;min
27/01/2016;11:35;0.47;max
27/01/2016;18:25;-0.37;min
28/01/2016;01:15;0.48;max
28/01/2016;06:50;-0.02;min
28/01/2016;11:50;0.38;max
28/01/2016;18:40;-0.31;min
29/01/2016;01:55;0.46;max
29/01/2016;07:45;-0.06;min
29/01/2016;12:40;0.30;max
29/01/2016;18:50;-0.28;min
30/01/2016;01:50;0.41;max
30/01/2016;08:05;-0.06;min
30/01/2016;13:40;0.22;max
30/01/2016;18:45;-0.13;min
31/01/2016;02:30;0.50;max
31/01/2016;09:00;0.10;min
31/01/2016;13:15;0.25;max
31/01/2016;19:30;0.05;min
01/02/2016;02:50;0.49;max
01/02/2016;11:55;0.03;min
02/02/2016;04:35;0.38;max
02/02/2016;13:45;-0.05;min
02/02/2016;21:30;0.29;max
03/02/2016;00:10;0.19;min
03/02/2016;06:00;0.48;max
03/02/2016;13:55;-0.08;min
03/02/2016;21:10;0.47;max
04/02/2016;01:05;0.16;min
04/02/2016;07:15;0.42;max
04/02/2016;14:10;-0.37;min
04/02/2016;21:50;0.52;max
05/02/2016;02:50;0.08;min
05/02/2016;07:35;0.41;max
05/02/2016;14:45;-0.35;min
05/02/2016;21:50;0.39;max
06/02/2016;02:55;0.01;min
06/02/2016;08:25;0.50;max
06/02/2016;16:00;-0.37;min
06/02/2016;22:40;0.46;max
07/02/2016;03:50;0.03;min
07/02/2016;10:30;0.71;max
07/02/2016;16:45;-0.16;min
07/02/2016;23:15;0.85;max
08/02/2016;05:00;0.12;min
08/02/2016;10:15;0.88;max
08/02/2016;17:10;-0.20;min
08/02/2016;23:30;0.73;max
09/02/2016;05:00;0.02;min
09/02/2016;10:35;0.79;max
09/02/2016;17:20;-0.17;min
10/02/2016;01:05;0.94;max
10/02/2016;06:35;0.44;min
