data;ora solare;valore (m);tipo
01/01/2017;01:20;0.37;max
01/01/2017;06:15;-0.02;min
01/01/2017;11:50;0.48;max
01/01/2017;18:40;-0.40;min
02/01/2017;01:40;0.45;max
02/01/2017;07:00;0.03;min
02/01/2017;12:25;0.46;max
02/01/2017;18:45;-0.27;min
03/01/2017;02:25;0.53;max
03/01/2017;07:35;0.17;min
03/01/2017;12:20;0.49;max
03/01/2017;19:35;-0.25;min
04/01/2017;03:10;0.44;max
04/01/2017;08:30;0.12;min
04/01/2017;13:55;0.41;max
04/01/2017;19:30;-0.01;min
05/01/2017;03:35;0.62;max
05/01/2017;14:25;0.05;min
05/01/2017;16:55;0.16;max
05/01/2017;21:35;-0.02;min
06/01/2017;02:35;0.29;max
06/01/2017;12:25;-0.23;min
06/01/2017;18:40;0.17;max
06/01/2017;23:40;-0.10;min
07/01/2017;06:30;0.37;max
07/01/2017;13:05;-0.20;min
07/01/2017;19:05;0.23;max
08/01/2017;00:20;-0.15;min
08/01/2017;07:10;0.52;max
08/01/2017;14:15;-0.17;min
08/01/2017;19:45;0.27;max
09/01/2017;00:50;-0.06;min
09/01/2017;08:00;0.59;max
09/01/2017;15:20;-0.39;min
09/01/2017;22:10;0.40;max
10/01/2017;02:15;0.16;min
10/01/2017;08:35;0.75;max
10/01/2017;16:15;-0.35;min
10/01/2017;22:40;0.59;max
11/01/2017;03:55;0.17;min
11/01/2017;09:35;0.74;max
11/01/2017;16:35;-0.44;min
11/01/2017;23:25;0.61;max
12/01/2017;03:55;0.22;min
12/01/2017;09:50;0.76;max
12/01/2017;17:05;-0.36;min
13/01/2017;00:20;0.75;max
13/01/2017;04:40;0.46;min
13/01/2017;10:40;1.03;max
13/01/2017;18:05;-0.21;min
14/01/2017;00:30;0.58;max
14/01/2017;05:35;0.05;min
14/01/2017;11:20;0.61;max
14/01/2017;18:05;-0.14;min
15/01/2017;01:10;0.59;max
15/01/2017;06:50;0.07;min
15/01/2017;12:40;0.63;max
15/01/2017;19:10;-0.12;min
16/01/2017;01:40;0.60;max
16/01/2017;07:05;0.05;min
16/01/2017;13:15;0.71;max
16/01/2017;19:40;-0.05;min
17/01/2017;02:15;0.61;max
17/01/2017;06:45;0.21;min
17/01/2017;13:20;0.66;max
17/01/2017;19:45;0.02;min
18/01/2017;03:55;0.61;max
18/01/2017;08:55;0.30;min
18/01/2017;14:20;0.54;max
18/01/2017;20:45;0.14;min
19/01/2017;03:10;0.61;max
19/01/2017;09:30;0.25;min
19/01/2017;13:20;0.37;max
19/01/2017;21:15;0.08;min
20/01/2017;04:30;0.48;max
20/01/2017;22:10;-0.01;min
21/01/2017;05:15;0.38;max
21/01/2017;13:35;-0.18;min
21/01/2017;20:25;0.01;max
21/01/2017;23:15;-0.03;min
22/01/2017;06:20;0.37;max
22/01/2017;14:35;-0.24;min
22/01/2017;21:15;0.19;max
23/01/2017;00:45;0.05;min
23/01/2017;07:05;0.45;max
23/01/2017;14:55;-0.26;min
23/01/2017;21:25;0.31;max
24/01/2017;01:55;0.07;min
24/01/2017;08:05;0.45;max
24/01/2017;15:15;-0.35;min
24/01/2017;22:10;0.34;max
25/01/2017;02:35;0.04;min
25/01/2017;08:30;0.54;max
25/01/2017;16:10;-0.36;min
25/01/2017;22:40;0.39;max
26/01/2017;03:30;0.04;min
26/01/2017;09:40;0.51;max
26/01/2017;16:30;-0.43;min
26/01/2017;23:05;0.40;max
27/01/2017;04:20;-0.08;min
27/01/2017;09:55;0.54;max
27/01/2017;16:55;-0.50;min
27/01/2017;23:30;0.41;max
28/01/2017;04:55;-0.10;min
28/01/2017;10:25;0.51;max
28/01/2017;17:00;-0.53;min
29/01/2017;00:00;0.43;max
29/01/2017;05:25;-0.09;min
29/01/2017;11:10;0.48;max
29/01/2017;17:30;-0.50;min
30/01/2017;00:25;0.48;max
30/01/2017;06:10;-0.09;min
30/01/2017;11:45;0.45;max
30/01/2017;17:50;-0.42;min
31/01/2017;01:05;0.53;max
31/01/2017;06:50;-0.04;min
31/01/2017;12:10;0.47;max
31/01/2017;18:25;-0.26;min
01/02/2017;01:40;0.61;max
01/02/2017;07:55;-0.02;min
01/02/2017;12:55;0.43;max
01/02/2017;19:00;-0.20;min
02/02/2017;01:50;0.58;max
02/02/2017;07:50;-0.05;min
02/02/2017;13:35;0.37;max
02/02/2017;19:00;-0.07;min
03/02/2017;02:20;0.55;max
03/02/2017;09:05;0.07;min
03/02/2017;14:35;0.42;max
03/02/2017;20:45;0.12;min
04/02/2017;02:50;0.53;max
04/02/2017;10:45;0.08;min
04/02/2017;16:50;0.38;max
04/02/2017;22:25;0.30;min
05/02/2017;04:30;0.64;max
05/02/2017;13:35;-0.17;min
05/02/2017;20:15;0.67;max
06/02/2017;00:10;0.52;min
06/02/2017;05:25;0.77;max
06/02/2017;13:40;0.11;min
06/02/2017;20:15;0.80;max
07/02/2017;02:20;0.23;min
07/02/2017;07:10;0.63;max
07/02/2017;15:05;0.05;min
07/02/2017;21:15;0.58;max
08/02/2017;02:40;0.09;min
08/02/2017;09:10;0.71;max
08/02/2017;16:00;-0.12;min
08/02/2017;22:00;0.56;max
09/02/2017;03:15;0.11;min
09/02/2017;09:50;0.82;max
09/02/2017;16:55;-0.16;min
09/02/2017;22:55;0.65;max
10/02/2017;04:15;0.13;min
10/02/2017;10:10;0.83;max
10/02/2017;17:10;-0.30;min
10/02/2017;23:35;0.60;max
11/02/2017;04:50;0.09;min
11/02/2017;10:30;0.70;max
11/02/2017;17:35;-0.42;min
12/02/2017;00:10;0.63;max
12/02/2017;05:35;0.02;min
12/02/2017;10:50;0.58;max
12/02/2017;17:35;-0.44;min
13/02/2017;00:15;0.61;max
13/02/2017;06:00;-0.07;min
13/02/2017;11:15;0.44;max
13/02/2017;17:40;-0.32;min
14/02/2017;00:40;0.57;max
14/02/2017;06:45;-0.10;min
14/02/2017;12:20;0.40;max
14/02/2017;18:40;-0.23;min
15/02/2017;01:15;0.50;max
15/02/2017;07:25;-0.15;min
15/02/2017;12:50;0.36;max
15/02/2017;18:45;-0.20;min
16/02/2017;01:20;0.42;max
16/02/2017;07:20;-0.07;min
16/02/2017;12:50;0.35;max
16/02/2017;19:00;-0.08;min
17/02/2017;01:45;0.45;max
17/02/2017;08:30;0.01;min
17/02/2017;13:20;0.27;max
17/02/2017;19:00;-0.02;min
18/02/2017;02:35;0.43;max
18/02/2017;09:55;-0.04;min
18/02/2017;13:15;0.03;max
18/02/2017;17:00;-0.08;min
19/02/2017;03:25;0.32;max
19/02/2017;13:40;-0.11;min
20/02/2017;04:40;0.33;max
20/02/2017;13:15;-0.20;min
20/02/2017;21:00;0.24;max
21/02/2017;01:25;0.13;min
21/02/2017;06:20;0.31;max
21/02/2017;14:20;-0.29;min
21/02/2017;21:40;0.30;max
22/02/2017;02:30;0.04;min
22/02/2017;07:25;0.32;max
22/02/2017;14:50;-0.33;min
22/02/2017;21:50;0.43;max
23/02/2017;02:55;0.02;min
23/02/2017;08:25;0.40;max
23/02/2017;15:20;-0.33;min
23/02/2017;22:15;0.50;max
24/02/2017;03:45;0.04;min
24/02/2017;09:25;0.55;max
24/02/2017;16:00;-0.23;min
24/02/2017;23:00;0.81;max
25/02/2017;04:55;0.03;min
25/02/2017;09:55;0.51;max
25/02/2017;16:10;-0.36;min
25/02/2017;22:50;0.61;max
26/02/2017;04:55;-0.13;min
26/02/2017;10:45;0.51;max
26/02/2017;17:00;-0.31;min
26/02/2017;23:30;0.60;max
27/02/2017;05:30;-0.19;min
27/02/2017;11:05;0.54;max
27/02/2017;17:20;-0.30;min
28/02/2017;00:00;0.63;max
28/02/2017;05:55;-0.13;min
28/02/2017;12:05;0.69;max
28/02/2017;18:00;-0.06;min
01/03/2017;00:20;0.82;max
01/03/2017;06:40;-0.01;min
01/03/2017;11:25;0.54;max
01/03/2017;18:10;-0.26;min
02/03/2017;01:40;0.57;max
02/03/2017;07:55;0.03;min
02/03/2017;12:35;0.46;max
02/03/2017;18:50;-0.22;min
03/03/2017;01:55;0.71;max
03/03/2017;08:40;-0.15;min
03/03/2017;13:30;0.26;max
03/03/2017;18:30;-0.14;min
04/03/2017;01:40;0.67;max
04/03/2017;08:50;-0.02;min
05/03/2017;00:40;0.82;max
05/03/2017;11:10;-0.11;min
05/03/2017;20:00;0.68;max
06/03/2017;10:45;-0.03;min
06/03/2017;18:15;0.67;max
07/03/2017;01:30;0.38;min
07/03/2017;06:25;0.54;max
07/03/2017;13:15;0.12;min
07/03/2017;20:40;0.47;max
08/03/2017;02:15;0.22;min
08/03/2017;07:20;0.58;max
08/03/2017;15:20;-0.32;min
08/03/2017;21:55;0.54;max
09/03/2017;02:35;0.18;min
09/03/2017;07:55;0.59;max
09/03/2017;15:15;-0.39;min
09/03/2017;22:15;0.61;max
10/03/2017;03:55;0.14;min
10/03/2017;09:00;0.60;max
10/03/2017;15:25;-0.33;min
10/03/2017;22:50;0.65;max
11/03/2017;04:25;-0.11;min
11/03/2017;09:55;0.45;max
11/03/2017;15:50;-0.34;min
11/03/2017;22:45;0.70;max
12/03/2017;04:50;-0.09;min
12/03/2017;10:40;0.56;max
12/03/2017;16:35;-0.16;min
12/03/2017;23:05;0.74;max
13/03/2017;05:25;-0.09;min
13/03/2017;11:05;0.54;max
13/03/2017;17:15;-0.19;min
13/03/2017;23:40;0.60;max
14/03/2017;05:50;-0.21;min
14/03/2017;11:50;0.54;max
14/03/2017;17:50;-0.22;min
15/03/2017;00:00;0.56;max
15/03/2017;05:50;-0.23;min
15/03/2017;11:35;0.49;max
15/03/2017;17:50;-0.29;min
16/03/2017;00:05;0.42;max
16/03/2017;06:20;-0.24;min
16/03/2017;12:10;0.31;max
16/03/2017;18:05;-0.26;min
17/03/2017;00:40;0.39;max
17/03/2017;07:00;-0.18;min
17/03/2017;12:55;0.27;max
17/03/2017;18:20;-0.12;min
18/03/2017;01:10;0.51;max
18/03/2017;07:50;-0.06;min
18/03/2017;13:10;0.25;max
18/03/2017;17:45;0.09;min
19/03/2017;01:15;0.53;max
19/03/2017;09:15;-0.09;min
19/03/2017;15:35;0.21;max
19/03/2017;17:50;0.17;min
20/03/2017;00:50;0.43;max
20/03/2017;08:35;-0.05;min
20/03/2017;19:40;0.34;max
21/03/2017;11:25;-0.04;min
21/03/2017;20:05;0.32;max
22/03/2017;01:00;0.15;min
22/03/2017;06:00;0.31;max
22/03/2017;13:55;-0.02;min
22/03/2017;20:25;0.39;max
23/03/2017;02:05;0.09;min
23/03/2017;07:45;0.40;max
23/03/2017;14:20;-0.13;min
23/03/2017;21:05;0.45;max
24/03/2017;03:00;0.01;min
24/03/2017;08:10;0.42;max
24/03/2017;15:00;-0.27;min
24/03/2017;21:35;0.46;max
25/03/2017;03:15;-0.11;min
25/03/2017;09:00;0.45;max
25/03/2017;15:10;-0.33;min
25/03/2017;22:00;0.59;max
26/03/2017;04:05;-0.05;min
26/03/2017;09:30;0.49;max
26/03/2017;15:45;-0.34;min
26/03/2017;22:30;0.60;max
27/03/2017;04:30;-0.21;min
27/03/2017;10:00;0.46;max
27/03/2017;16:10;-0.39;min
27/03/2017;22:55;0.61;max
28/03/2017;05:05;-0.29;min
28/03/2017;10:50;0.46;max
28/03/2017;16:50;-0.28;min
28/03/2017;23:20;0.58;max
29/03/2017;05:45;-0.37;min
29/03/2017;11:40;0.46;max
29/03/2017;17:25;-0.31;min
29/03/2017;23:40;0.58;max
30/03/2017;06:20;-0.36;min
30/03/2017;12:10;0.40;max
30/03/2017;17:40;-0.29;min
31/03/2017;00:20;0.52;max
31/03/2017;06:50;-0.34;min
31/03/2017;12:50;0.35;max
31/03/2017;18:10;-0.15;min
01/04/2017;00:45;0.57;max
01/04/2017;07:45;-0.19;min
01/04/2017;14:00;0.33;max
01/04/2017;18:15;0.08;min
02/04/2017;00:55;0.57;max
02/04/2017;08:30;-0.10;min
02/04/2017;15:25;0.47;max
02/04/2017;20:40;0.25;min
03/04/2017;01:40;0.38;max
03/04/2017;08:55;-0.17;min
03/04/2017;17:05;0.39;max
03/04/2017;23:35;0.20;min
04/04/2017;01:50;0.25;max
04/04/2017;11:35;-0.03;min
04/04/2017;18:10;0.45;max
05/04/2017;01:50;0.12;min
05/04/2017;06:25;0.32;max
05/04/2017;13:15;-0.12;min
05/04/2017;19:45;0.41;max
06/04/2017;01:50;0.02;min
06/04/2017;08:00;0.38;max
06/04/2017;14:05;-0.20;min
06/04/2017;20:35;0.49;max
07/04/2017;02:20;0.00;min
07/04/2017;08:25;0.42;max
07/04/2017;14:35;-0.24;min
07/04/2017;21:10;0.49;max
08/04/2017;03:25;-0.17;min
08/04/2017;08:50;0.34;max
08/04/2017;15:15;-0.29;min
08/04/2017;21:50;0.53;max
09/04/2017;04:15;-0.23;min
09/04/2017;09:45;0.43;max
09/04/2017;15:40;-0.32;min
09/04/2017;22:10;0.58;max
10/04/2017;04:25;-0.27;min
10/04/2017;10:15;0.39;max
10/04/2017;15:50;-0.21;min
10/04/2017;22:30;0.60;max
11/04/2017;04:55;-0.25;min
11/04/2017;11:05;0.42;max
11/04/2017;16:45;-0.13;min
11/04/2017;22:45;0.62;max
12/04/2017;05:30;-0.32;min
12/04/2017;11:50;0.44;max
12/04/2017;17:05;-0.11;min
12/04/2017;23:15;0.63;max
13/04/2017;05:50;-0.29;min
13/04/2017;12:05;0.51;max
13/04/2017;17:35;0.00;min
13/04/2017;23:40;0.65;max
14/04/2017;05:55;-0.21;min
14/04/2017;12:30;0.53;max
14/04/2017;17:40;0.07;min
14/04/2017;23:40;0.67;max
15/04/2017;06:35;-0.10;min
15/04/2017;13:10;0.50;max
15/04/2017;18:10;0.21;min
16/04/2017;00:10;0.66;max
16/04/2017;07:25;-0.10;min
16/04/2017;14:00;0.45;max
16/04/2017;18:30;0.31;min
17/04/2017;01:10;0.64;max
17/04/2017;08:20;-0.02;min
17/04/2017;14:45;0.35;max
17/04/2017;16:25;0.30;min
18/04/2017;01:25;0.53;max
18/04/2017;08:05;0.10;min
18/04/2017;13:20;0.45;max
18/04/2017;14:45;0.41;min
18/04/2017;17:55;0.62;max
19/04/2017;09:45;-0.08;min
19/04/2017;19:05;0.50;max
20/04/2017;12:10;-0.08;min
20/04/2017;20:00;0.51;max
21/04/2017;02:45;0.10;min
21/04/2017;06:30;0.21;max
21/04/2017;12:40;-0.23;min
21/04/2017;20:05;0.46;max
22/04/2017;02:35;-0.06;min
22/04/2017;08:05;0.33;max
22/04/2017;13:50;-0.15;min
22/04/2017;20:50;0.55;max
23/04/2017;02:50;-0.08;min
23/04/2017;08:25;0.45;max
23/04/2017;14:35;-0.18;min
23/04/2017;21:25;0.68;max
24/04/2017;03:50;-0.16;min
24/04/2017;09:20;0.46;max
24/04/2017;14:55;-0.17;min
24/04/2017;21:55;0.77;max
25/04/2017;04:25;-0.22;min
25/04/2017;10:10;0.52;max
25/04/2017;15:30;-0.04;min
25/04/2017;22:15;0.92;max
26/04/2017;05:00;-0.17;min
26/04/2017;11:35;0.78;max
26/04/2017;16:30;0.27;min
26/04/2017;22:35;1.01;max
27/04/2017;05:55;-0.15;min
27/04/2017;12:15;0.80;max
27/04/2017;17:05;0.30;min
27/04/2017;23:00;1.00;max
28/04/2017;05:50;-0.13;min
28/04/2017;11:50;0.81;max
28/04/2017;18:10;0.13;min
28/04/2017;23:45;0.71;max
29/04/2017;06:35;-0.26;min
29/04/2017;12:25;0.55;max
29/04/2017;18:10;0.03;min
30/04/2017;00:05;0.52;max
30/04/2017;07:15;-0.20;min
30/04/2017;13:50;0.39;max
30/04/2017;18:55;0.07;min
01/05/2017;01:05;0.51;max
01/05/2017;08:40;-0.11;min
01/05/2017;15:50;0.53;max
01/05/2017;19:20;0.33;min
02/05/2017;01:15;0.61;max
02/05/2017;09:50;-0.17;min
02/05/2017;17:45;0.51;max
03/05/2017;10:20;-0.14;min
03/05/2017;18:25;0.58;max
04/05/2017;03:15;0.12;min
04/05/2017;06:45;0.22;max
04/05/2017;12:10;-0.05;min
04/05/2017;19:00;0.63;max
05/05/2017;02:35;0.00;min
05/05/2017;07:05;0.31;max
05/05/2017;12:45;-0.01;min
05/05/2017;19:40;0.61;max
06/05/2017;02:15;-0.10;min
06/05/2017;09:00;0.39;max
06/05/2017;13:45;0.00;min
06/05/2017;20:20;0.71;max
07/05/2017;03:00;-0.02;min
07/05/2017;07:50;0.56;max
07/05/2017;14:55;-0.11;min
07/05/2017;21:35;0.62;max
08/05/2017;03:20;0.05;min
08/05/2017;09:05;0.47;max
08/05/2017;15:15;-0.06;min
08/05/2017;21:50;0.78;max
09/05/2017;04:50;-0.13;min
09/05/2017;10:40;0.49;max
09/05/2017;15:25;0.04;min
09/05/2017;22:00;0.86;max
10/05/2017;04:45;-0.22;min
10/05/2017;10:55;0.57;max
10/05/2017;15:45;0.20;min
10/05/2017;21:40;0.82;max
11/05/2017;05:05;-0.17;min
11/05/2017;12:00;0.76;max
11/05/2017;16:35;0.45;min
11/05/2017;22:05;0.97;max
12/05/2017;05:25;0.02;min
12/05/2017;12:20;0.87;max
12/05/2017;17:40;0.38;min
12/05/2017;23:00;0.78;max
13/05/2017;05:35;-0.02;min
13/05/2017;12:15;0.76;max
13/05/2017;18:05;0.25;min
13/05/2017;23:40;0.77;max
14/05/2017;06:00;-0.02;min
14/05/2017;12:10;0.61;max
14/05/2017;17:20;0.23;min
14/05/2017;23:40;0.69;max
15/05/2017;07:20;-0.06;min
15/05/2017;13:45;0.45;max
15/05/2017;18:30;0.24;min
16/05/2017;00:15;0.64;max
16/05/2017;07:30;-0.13;min
16/05/2017;15:50;0.44;max
16/05/2017;19:40;0.30;min
17/05/2017;00:15;0.54;max
17/05/2017;07:45;-0.16;min
17/05/2017;16:40;0.46;max
17/05/2017;20:30;0.36;min
18/05/2017;00:15;0.43;max
18/05/2017;08:40;-0.04;min
18/05/2017;18:10;0.56;max
19/05/2017;01:00;0.26;min
19/05/2017;04:15;0.29;max
19/05/2017;10:25;0.07;min
19/05/2017;16:55;0.67;max
20/05/2017;00:55;0.17;min
20/05/2017;06:15;0.41;max
20/05/2017;12:50;0.04;min
20/05/2017;19:25;0.60;max
21/05/2017;01:55;-0.04;min
21/05/2017;07:05;0.32;max
21/05/2017;12:10;-0.07;min
21/05/2017;19:30;0.57;max
22/05/2017;02:35;-0.14;min
22/05/2017;08:45;0.37;max
22/05/2017;14:15;-0.10;min
22/05/2017;20:25;0.66;max
23/05/2017;03:15;-0.18;min
23/05/2017;09:05;0.51;max
23/05/2017;14:35;-0.08;min
23/05/2017;21:35;0.78;max
24/05/2017;04:05;-0.23;min
24/05/2017;10:00;0.51;max
24/05/2017;15:00;-0.06;min
24/05/2017;21:45;0.87;max
25/05/2017;05:00;-0.23;min
25/05/2017;10:55;0.55;max
25/05/2017;15:45;-0.08;min
25/05/2017;22:05;0.75;max
26/05/2017;05:20;-0.47;min
26/05/2017;11:35;0.44;max
